BJD - 2454833, Corrected Flux,
2154.461838074, 0.999781521,
2154.482269995, 1.000014657,
2154.502701915, 0.999817685,
2154.523133835, 0.999814136,
2154.543565754, 0.999827217,
2154.563997673, 0.999890091,
2154.584429592, 0.999810577,
2154.604861510, 0.999904996,
2154.625293428, 0.999755707,
2154.645725445, 0.999647707,
2154.666157262, 0.999619824,
2154.686589178, 0.999821645,
2154.707021194, 0.999801289,
2154.727453010, 0.999823058,
2154.747884925, 0.999938830,
2154.768316840, 0.999891085,
2154.788748754, 0.999817479,
2154.809180768, 0.999911428,
2154.829612581, 0.999717102,
2154.850044495, 1.000039489,
2154.870476507, 0.999754094,
2154.890908319, 0.999618423,
2154.911340231, 0.999863678,
2154.931772242, 0.999833850,
2154.952204053, 0.999862196,
2154.972635964, 0.999857803,
2154.993067974, 0.999808188,
2155.013499783, 0.999970627,
2155.033931693, 0.999797673,
2155.054363701, 0.999817922,
2155.074795609, 0.999884955,
2155.095227417, 0.999737630,
2155.115659425, 0.999957497,
2155.136091332, 1.000038537,
2155.156523138, 0.999992968,
2155.176955145, 1.000012108,
2155.197387051, 1.000031093,
2155.217818856, 0.999925457,
2155.238250861, 0.999188836,
2155.258682766, 0.999053664,
2155.279114570, 0.998987708,
2155.299546573, 0.998922913,
2155.319978476, 0.998825001,
2155.340410379, 0.998888737,
2155.360842282, 0.999152176,
2155.381274184, 0.999270714,
2155.401706185, 0.999950179,
2155.422137986, 0.999771552,
2155.442569887, 0.999866929,
2155.463001888, 0.999658195,
2155.483433687, 0.999858200,
2155.503865587, 0.999833380,
2155.524297486, 1.000079857,
2155.544729384, 0.999874987,
2155.565161283, 0.999936007,
2155.585593280, 0.999753852,
2155.606025078, 0.999744806,
2155.626456975, 0.999749262,
2155.646888972, 0.999636560,
2155.667320768, 0.999638324,
2155.687752663, 0.999710531,
2155.708184659, 0.999630802,
2155.728616453, 0.999822002,
2155.749048348, 0.999689090,
2155.769480342, 0.999669325,
2155.789912135, 0.999687605,
2155.851207814, 0.999723281,
2155.871639706, 0.999719337,
2155.892071697, 0.999802088,
2155.912503588, 0.999821047,
2155.932935379, 0.999829168,
2155.953367369, 0.999813873,
2155.973799259, 0.999794480,
2155.994231149, 0.999540283,
2156.014663037, 0.999743671,
2156.035094926, 0.999895712,
2156.055526914, 0.999771433,
2156.075958702, 0.999719566,
2156.096390589, 0.999847937,
2156.116822577, 0.999624183,
2156.137254363, 0.999647533,
2156.157686249, 0.999782127,
2156.178118235, 0.999851840,
2156.198550020, 0.999779498,
2156.218981905, 0.999550910,
2156.239413890, 0.999584202,
2156.259845674, 0.999633236,
2156.280277557, 0.999712296,
2156.300709440, 0.999967760,
2156.321141324, 0.999880229,
2156.402868850, 0.999930042,
2156.423300831, 0.999910242,
2156.443732612, 0.999963810,
2156.464164492, 0.999690865,
2156.484596471, 0.999799796,
2156.505028250, 0.999867196,
2156.525460129, 0.999788301,
2156.545892108, 0.999650143,
2156.566323885, 0.999814825,
2156.586755863, 0.999930622,
2156.607187740, 0.999875453,
2156.627619517, 0.999849607,
2156.648051493, 0.999916153,
2156.668483368, 0.999986659,
2156.688915144, 0.999713943,
2156.709347119, 0.999934247,
2156.729778994, 0.999704916,
2156.750210868, 0.999801412,
2156.770642742, 0.999886171,
2156.791074615, 0.999868249,
2156.811506488, 0.999904483,
2156.831938361, 0.999996059,
2156.852370233, 0.999872037,
2156.872802105, 0.999724271,
2156.893234076, 0.999774799,
2156.913665847, 0.999789850,
2156.934097718, 0.999860575,
2156.954529688, 0.999952705,
2156.974961458, 0.999855734,
2156.995393327, 0.999624535,
2157.015825196, 0.999620495,
2157.036257064, 0.999599990,
2157.077120800, 0.999813377,
2157.097552667, 0.999761716,
2157.117984534, 1.000012517,
2157.138416401, 0.999886383,
2157.158848267, 0.999830211,
2157.179280233, 0.999965145,
2157.199711998, 0.999796162,
2157.220143863, 0.999950594,
2157.240575827, 0.999765817,
2157.261007692, 0.999916160,
2157.301871418, 0.999891882,
2157.322303281, 0.999779640,
2157.342735044, 0.999848289,
2157.383598867, 0.999788836,
2157.404030628, 0.999697413,
2157.424462590, 0.999835195,
2157.444894450, 0.999783020,
2157.465326210, 0.999876547,
2157.485758170, 0.999895236,
2157.506190029, 0.999862573,
2157.526621788, 0.999712306,
2157.547053746, 0.999755058,
2157.567485604, 0.999730831,
2157.587917462, 0.999787448,
2157.608349319, 0.999774844,
2157.628781176, 0.999855113,
2157.649213033, 0.999856088,
2157.669644889, 0.999909754,
2157.690076745, 0.999712829,
2157.710508600, 0.999795169,
2157.730940454, 0.999836854,
2157.751372309, 0.999755911,
2157.812667870, 0.999542284,
2157.833099823, 0.999541168,
2157.853531575, 0.999693348,
2157.873963428, 0.999935921,
2157.894395379, 0.999877987,
2157.914827130, 0.999799352,
2157.935258981, 0.999773665,
2157.976122682, 0.999868321,
2157.996554532, 0.999808841,
2158.016986481, 0.999724134,
2158.037418230, 1.000035359,
2158.057850078, 0.999840063,
2158.078282027, 0.999839806,
2158.098713874, 0.999817294,
2158.119145622, 0.999835224,
2158.139577569, 0.999879799,
2158.160009415, 0.999809279,
2158.180441162, 0.999889062,
2158.200873107, 0.999797487,
2158.221304953, 0.998555920,
2158.241736698, 0.990319172,
2158.262168642, 0.987994608,
2158.282600486, 0.987251422,
2158.323464174, 0.987714182,
2158.343896017, 0.989474332,
2158.364327959, 0.996565871,
2158.384759701, 0.999828406,
2158.405191543, 0.999918404,
2158.425623485, 0.999891795,
2158.446055226, 0.999787622,
2158.466487066, 0.999818853,
2158.486919007, 0.999938840,
2158.507350747, 0.999862239,
2158.527782586, 1.000095401,
