BJD - 2454833, Corrected Flux
2310.839695441, 0.991380560,
2310.860127450, 0.991477626,
2310.880559358, 0.991640472,
2310.900991166, 0.991513848,
2310.921423173, 0.991406470,
2310.941855080, 0.991463093,
2310.962286887, 0.991498437,
2310.982718893, 0.991366545,
2311.003150799, 0.991654544,
2311.023582605, 0.991380965,
2311.044014610, 0.991262021,
2311.064446515, 0.991628770,
2311.084878320, 0.991541773,
2311.105310324, 0.991753537,
2311.125742228, 0.991592860,
2311.146174031, 0.991787789,
2311.166606035, 0.991437422,
2311.187037938, 0.991668188,
2311.227901742, 0.991779093,
2311.248333644, 0.991591119,
2311.268765445, 0.991492333,
2311.289197446, 0.991437880,
2311.309629347, 0.991547270,
2311.330061148, 0.991662770,
2311.350493148, 0.991559158,
2311.370925048, 0.991556096,
2311.391357047, 0.991468781,
2311.411788846, 0.991699265,
2311.432220744, 0.991432601,
2311.452652743, 0.991455015,
2311.473084541, 0.991708210,
2311.493516438, 0.991457600,
2311.513948436, 0.991651529,
2311.534380233, 0.991525511,
2311.554812129, 0.991589084,
2311.575244125, 0.991663977,
2311.595676021, 0.991606014,
2311.616107817, 0.991834537,
2311.636539812, 0.991713292,
2311.656971707, 0.991806746,
2311.677403501, 0.991744833,
2311.718267389, 0.991737891,
2311.738699183, 0.991683780,
2311.759131176, 0.991670751,
2311.779563069, 0.991816849,
2311.799994861, 0.991520853,
2311.820426853, 0.991631157,
2311.840858745, 0.991654222,
2311.861290636, 0.991574239,
2311.881722527, 0.991538808,
2311.902154318, 0.991434407,
2311.922586308, 0.991564618,
2311.943018198, 0.991780804,
2311.963449988, 0.991787875,
2311.983881977, 0.991598977,
2312.004313866, 0.991785953,
2312.024745755, 0.991524983,
2312.045177643, 0.991143359,
2312.065609531, 0.991200593,
2312.086041419, 0.990246995,
2312.106473306, 0.990615986,
2312.126905193, 0.990773444,
2312.147337080, 0.990896352,
2312.208632738, 0.991693860,
2312.229064723, 0.991608203,
2312.249496508, 0.991550445,
2312.269928392, 0.991744415,
2312.290360377, 0.991668625,
2312.310792160, 0.991448219,
2312.331224044, 0.991689979,
2312.351656027, 0.991558769,
2312.372087810, 0.991534547,
2312.392519793, 0.991651284,
2312.412951675, 0.991383044,
2312.453815438, 0.991738519,
2312.474247319, 0.991584134,
2312.494679200, 0.991746348,
2312.515111081, 0.991799934,
2312.535542961, 0.991744421,
2312.555974841, 0.991696128,
2312.576406720, 0.991624690,
2312.596838599, 0.991608351,
2312.617270378, 0.991961172,
2312.637702357, 0.992041930,
2312.658134235, 0.991917169,
2312.678566013, 0.991655501,
2312.698997990, 0.991918121,
2312.719429868, 0.991758333,
2312.739861644, 0.991817177,
2312.760293621, 0.991702369,
2312.780725497, 0.991865023,
2312.801157273, 0.991796460,
2312.821589248, 0.991863029,
2312.842021123, 0.991721838,
2312.862452998, 0.991916451,
2312.882884873, 0.991815913,
2312.903316747, 0.991925515,
2312.923748721, 0.991954844,
2312.944180494, 0.991773498,
2312.964612367, 0.991948663,
2312.985044340, 0.991855678,
2313.005476213, 0.991881028,
2313.025907985, 0.991718242,
2313.046339957, 0.991867980,
2313.066771828, 0.991885603,
2313.087203599, 0.991722625,
2313.107635570, 0.991709138,
2313.128067441, 0.991744789,
2313.148499211, 0.991656487,
2313.189363050, 0.992006248,
2313.209794820, 0.991913721,
2313.230226788, 0.992047923,
2313.250658657, 0.992068217,
2313.271090525, 0.992002841,
2313.291522393, 0.991945406,
2313.311954261, 0.991999804,
2313.332386128, 0.992056998,
2313.352817995, 0.991792794,
2313.373249861, 0.992006972,
2313.393681628, 0.992063030,
2313.434545459, 0.991982468,
2313.454977324, 0.991981089,
2313.475409189, 0.991883935,
2313.495841054, 0.992013651,
2313.516273018, 0.991947591,
2313.536704782, 0.992056475,
2313.557136646, 0.992157925,
2313.577568609, 0.992100222,
2313.598000372, 0.992088655,
2313.618432235, 0.992029620,
2313.638864197, 0.992200473,
2313.659295959, 0.992262301,
2313.679727821, 0.992194506,
2313.700159782, 0.991975582,
2313.720591543, 0.992104510,
2313.741023404, 0.992091210,
2313.761455364, 0.992068427,
2313.781887124, 0.992161843,
2313.802318984, 0.992093001,
2313.822750943, 0.992142115,
2313.843182802, 0.992083017,
2313.863614561, 0.992122596,
2313.884046519, 0.991945854,
2313.904478378, 0.992089242,
2313.924910235, 0.992147474,
2313.945342093, 0.991869701,
2313.965773950, 0.992209572,
2313.986205807, 0.992078637,
2314.006637664, 0.992178403,
2314.027069520, 0.992385436,
2314.047501375, 0.992537439,
2314.067933231, 0.993086180,
2314.088365086, 0.993089742,
2314.108796941, 0.993123407,
2314.129228796, 0.992330092,
2314.170092504, 0.992401358,
2314.190524358, 0.992311107,
2314.210956211, 0.992231605,
2314.231388064, 0.992265723,
2314.251819917, 0.992219292,
2314.272251769, 0.992300198,
2314.292683621, 0.992501121,
2314.313115473, 0.992103243,
2314.333547324, 0.992270356,
2314.353979275, 0.992122520,
2314.374411026, 0.992220711,
2314.415274827, 0.992244711,
2314.435706577, 0.992435361,
2314.456138526, 0.992390848,
2314.476570375, 0.992343052,
2314.497002124, 0.992319887,
2314.517434073, 0.992664935,
2314.537865921, 0.992368200,
2314.558297669, 0.992405232,
2314.578729617, 0.992440763,
2314.599161464, 0.992378609,
2314.619593211, 0.992429616,
2314.640025158, 0.992589733,
2314.660457004, 0.992323123,
2314.680888850, 0.992513481,
2314.701320696, 0.992677688,
2314.721752541, 0.992371043,
2314.742184386, 0.992612981,
2314.762616231, 0.992653467,
2314.783048075, 0.992674362,
