Radius(pc) TotalMass DiskMass BulgeMass 
198.00 1562717429.24 8132706.32 1545422118.45 
199.00 1576194297.57 8252559.84 1558671002.00 
200.00 1589702386.45 8373551.68 1571949291.84 
201.00 1603241428.93 8495686.61 1585256716.07 
202.00 1616811159.87 8618969.38 1598593004.69 
203.00 1630411315.98 8743404.73 1611957889.53 
204.00 1644041635.80 8868997.42 1625351104.27 
205.00 1657701859.71 8995752.17 1638772384.44 
206.00 1671391729.84 9123673.70 1652221467.35 
207.00 1685110990.15 9252766.73 1665698092.13 
208.00 1698859386.37 9383035.97 1679201999.71 
209.00 1712636665.99 9514486.12 1692732932.79 
210.00 1726442578.23 9647121.86 1706290635.83 
211.00 1740276874.09 9780947.89 1719874855.06 
212.00 1754139306.27 9915968.88 1733485338.41 
213.00 1768029629.19 10052189.50 1747121835.60 
214.00 1781947598.97 10189614.41 1760784098.01 
215.00 1795892973.42 10328248.26 1774471878.76 
216.00 1809865512.04 10468095.71 1788184932.64 
217.00 1823864975.99 10609161.39 1801923016.12 
218.00 1837891128.07 10751449.92 1815685887.37 
219.00 1851943732.75 10894965.94 1829473306.16 
220.00 1866022556.10 11039714.05 1843285033.96 
221.00 1880127365.83 11185698.87 1857120833.84 
222.00 1894257931.26 11332924.99 1870980470.49 
223.00 1908414023.30 11481397.01 1884863710.23 
224.00 1922595414.43 11631119.52 1898770320.96 
225.00 1936801878.73 11782097.08 1912700072.16 
226.00 1951033191.83 11934334.27 1926652734.92 
227.00 1965289130.91 12087835.65 1940628081.85 
228.00 1979569474.69 12242605.78 1954625887.14 
229.00 1993874003.42 12398649.20 1968645926.52 
230.00 2008202498.87 12555970.46 1982687977.23 
231.00 2022554744.32 12714574.07 1996751818.06 
232.00 2036930524.54 12874464.58 2010837229.29 
233.00 2051329625.79 13035646.50 2024943992.70 
234.00 2065751835.80 13198124.33 2039071891.55 
235.00 2080196943.78 13361902.57 2053220710.60 
236.00 2094664740.36 13526985.73 2067390236.05 
237.00 2109155017.66 13693378.30 2081580255.58 
238.00 2123667569.21 13861084.74 2095790558.29 
239.00 2138202189.95 14030109.53 2110020934.74 
240.00 2152758676.25 14200457.15 2124271176.89 
241.00 2167336825.88 14372132.04 2138541078.13 
242.00 2181936438.01 14545138.66 2152830433.26 
243.00 2196557313.18 14719481.45 2167139038.47 
244.00 2211199253.31 14895164.84 2181466691.31 
245.00 2225862061.69 15072193.27 2195813190.75 
246.00 2240545542.94 15250571.16 2210178337.08 
247.00 2255249503.05 15430302.91 2224561931.98 
248.00 2269973749.34 15611392.95 2238963778.46 
249.00 2284718090.43 15793845.66 2253383680.86 
250.00 2299482336.29 15977665.44 2267821444.86 
251.00 2314266298.17 16162856.68 2282276877.45 
252.00 2329069788.64 16349423.74 2296749786.93 
253.00 2343892621.54 16537371.01 2311239982.89 
254.00 2358734611.98 16726702.85 2325747276.23 
255.00 2373595576.37 16917423.61 2340271479.11 
256.00 2388475332.35 17109537.65 2354812404.96 
257.00 2403373698.83 17303049.29 2369369868.48 
258.00 2418290495.95 17497962.89 2383943685.63 
259.00 2433225545.09 17694282.76 2398533673.61 
260.00 2448178668.85 17892013.24 2413139650.84 
261.00 2463149691.05 18091158.62 2427761436.98 
262.00 2478138436.73 18291723.22 2442398852.91 
263.00 2493144732.10 18493711.34 2457051720.71 
264.00 2508168404.58 18697127.26 2471719863.67 
265.00 2523209282.77 18901975.29 2486403106.26 
266.00 2538267196.43 19108259.68 2501101274.15 
267.00 2553341976.51 19315984.72 2515814194.18 
268.00 2568433455.10 19525154.67 2530541694.34 
269.00 2583541465.43 19735773.78 2545283603.80 
270.00 2598665841.89 19947846.31 2560039752.87 
271.00 2613806419.99 20161376.50 2574809973.01 
272.00 2628963036.38 20376368.59 2589594096.81 
273.00 2644135528.80 20592826.80 2604391957.99 
274.00 2659323736.12 20810755.36 2619203391.37 
275.00 2674527498.30 21030158.48 2634028232.91 
276.00 2689746656.41 21251040.37 2648866319.65 
277.00 2704981052.58 21473405.23 2663717489.73 
278.00 2720230530.03 21697257.26 2678581582.40 
279.00 2735494933.06 21922600.65 2693458437.96 
280.00 2750774107.02 22149439.57 2708347897.78 
281.00 2766067898.31 22377778.21 2723249804.33 
282.00 2781376154.39 22607620.72 2738164001.11 
283.00 2796698723.76 22838971.27 2753090332.66 
284.00 2812035455.95 23071834.01 2768028644.59 
285.00 2827386201.50 23306213.09 2782978783.53 
286.00 2842750812.00 23542112.65 2797940597.14 
287.00 2858129140.02 23779536.82 2812913934.11 
288.00 2873521039.17 24018489.73 2827898644.12 
289.00 2888926364.01 24258975.50 2842894577.88 
290.00 2904344970.14 24500998.24 2857901587.09 
291.00 2919776714.10 24744562.05 2872919524.44 
292.00 2935221453.44 24989671.04 2887948243.62 
293.00 2950679046.65 25236329.30 2902987599.28 
294.00 2966149353.22 25484540.91 2918037447.06 
295.00 2981632233.56 25734309.96 2933097643.54 
296.00 2997127549.06 25985640.51 2948168046.29 
297.00 3012635162.02 26238536.64 2963248513.81 
298.00 3028154935.70 26493002.40 2978338905.55 
299.00 3043686734.28 26749041.84 2993439081.90 
300.00 3059230422.88 27006659.01 3008548904.19 
301.00 3074785867.51 27265857.95 3023668234.66 
302.00 3090352935.12 27526642.69 3038796936.49 
303.00 3105931493.53 27789017.26 3053934873.75 
304.00 3121521411.50 28052985.67 3069081911.44 
305.00 3137122558.64 28318551.95 3084237915.44 
306.00 3152734805.47 28585720.09 3099402752.53 
307.00 3168358023.38 28854494.09 3114576290.40 
308.00 3183992084.65 29124877.96 3129758397.58 
309.00 3199636862.41 29396875.67 3144948943.52 
310.00 3215292230.65 29670491.20 3160147798.50 
311.00 3230958064.23 29945728.54 3175354833.71 
312.00 3246634238.85 30222591.63 3190569921.14 
313.00 3262320631.05 30501084.46 3205792933.69 
314.00 3278017118.22 30781210.96 3221023745.07 
315.00 3293723578.57 31062975.09 3236262229.85 
316.00 3309439891.14 31346380.79 3251508263.41 
317.00 3325165935.80 31631431.99 3266761721.99 
318.00 3340901593.23 31918132.62 3282022482.63 
319.00 3356646744.90 32206486.60 3297290423.20 
320.00 3372401273.12 32496497.84 3312565422.37 
321.00 3388165060.97 32788170.27 3327847359.64 
322.00 3403937992.34 33081507.77 3343136115.29 
323.00 3419719951.89 33376514.24 3358431570.41 
324.00 3435510825.09 33673193.58 3373733606.86 
325.00 3451310498.15 33971549.66 3389042107.30 
326.00 3467118858.07 34271586.36 3404356955.18 
327.00 3482935792.64 34573307.56 3419678034.70 
328.00 3498761190.37 34876717.11 3435005230.84 
329.00 3514594940.55 35181818.88 3450338429.36 
330.00 3530436933.21 35488616.71 3465677516.75 
331.00 3546287059.14 35797114.45 3481022380.27 
332.00 3562145209.86 36107315.94 3496372907.93 
333.00 3578011277.62 36419225.01 3511728988.48 
334.00 3593885155.42 36732845.49 3527090511.41 
335.00 3609766736.95 37048181.20 3542457366.93 
336.00 3625655916.67 37365235.94 3557829446.00 
337.00 3641552589.71 37684013.53 3573206640.30 
338.00 3657456651.95 38004517.77 3588588842.21 
339.00 3673367999.94 38326752.45 3603975944.84 
340.00 3689286530.96 38650721.37 3619367842.00 
341.00 3705212142.96 38976428.29 3634764428.22 
342.00 3721144734.61 39303877.01 3650165598.72 
343.00 3737084205.26 39633071.28 3665571249.41 
344.00 3753030454.92 39964014.87 3680981276.90 
345.00 3768983384.30 40296711.55 3696395578.48 
346.00 3784942894.79 40631165.05 3711814052.11 
347.00 3800908888.42 40967379.13 3727236596.45 
348.00 3816881267.92 41305357.52 3742663110.82 
349.00 3832859936.65 41645103.96 3758093495.20 
350.00 3848844798.64 41986622.18 3773527650.25 
351.00 3864835758.57 42329915.88 3788965477.27 
352.00 3880832721.77 42674988.79 3804406878.24 
353.00 3896835594.21 43021844.62 3819851755.76 
354.00 3912844282.48 43370487.07 3835300013.10 
355.00 3928858693.84 43720919.83 3850751554.15 
356.00 3944878736.15 44073146.59 3866206283.46 
357.00 3960904317.91 44427171.04 3881664106.18 
358.00 3976935348.23 44782996.85 3897124928.14 
359.00 3992971736.86 45140627.70 3912588655.74 
360.00 4009013394.13 45500067.25 3928055196.03 
361.00 4025060231.01 45861319.17 3943524456.68 
362.00 4041112159.05 46224387.09 3958996345.96 
363.00 4057169090.42 46589274.68 3974470772.74 
364.00 4073230937.88 46955985.57 3989947646.51 
365.00 4089297614.79 47324523.40 4005426877.36 
366.00 4105369035.07 47694891.79 4020908375.98 
367.00 4121445113.26 48067094.38 4036392053.62 
368.00 4137525764.47 48441134.78 4051877822.17 
369.00 4153610904.39 48817016.59 4067365594.05 
370.00 4169700449.27 49194743.43 4082855282.31 
371.00 4185794315.94 49574318.90 4098346800.54 
372.00 4201892421.79 49955746.58 4113840062.93 
373.00 4217994684.80 50339030.07 4129334984.21 
374.00 4234101023.46 50724172.95 4144831479.71 
375.00 4250211356.85 51111178.78 4160329465.29 
376.00 4266325604.60 51500051.16 4175828857.39 
377.00 4282443686.87 51890793.63 4191329572.99 
378.00 4298565524.39 52283409.75 4206831529.64 
379.00 4314691038.39 52677903.08 4222334645.42 
380.00 4330820150.68 53074277.17 4237838838.96 
381.00 4346952783.59 53472535.55 4253344029.42 
382.00 4363088859.96 53872681.75 4268850136.52 
383.00 4379228303.17 54274719.32 4284357080.50 
384.00 4395371037.14 54678651.76 4299864782.11 
385.00 4411516986.28 55084482.60 4315373162.67 
386.00 4427666075.54 55492215.35 4330882143.98 
387.00 4443818230.37 55901853.51 4346391648.39 
388.00 4459973376.74 56313400.59 4361901598.74 
389.00 4476131441.10 56726860.07 4377411918.42 
390.00 4492292350.44 57142235.45 4392922531.28 
391.00 4508456032.22 57559530.20 4408433361.73 
392.00 4524622414.41 57978747.81 4423944334.63 
393.00 4540791425.48 58399891.74 4439455375.38 
394.00 4556962994.36 58822965.46 4454966409.86 
395.00 4573137050.51 59247972.43 4470477364.44 
396.00 4589313523.84 59674916.10 4485988165.99 
397.00 4605492344.75 60103799.92 4501498741.87 
398.00 4621673444.13 60534627.33 4517009019.90 
399.00 4637856753.31 60967401.77 4532518928.40 
400.00 4654042204.14 61402126.67 4548028396.17 
401.00 4670229728.89 61838805.44 4563537352.47 
402.00 4686419260.33 62277441.53 4579045727.05 
403.00 4702610731.67 62718038.32 4594553450.12 
404.00 4718804076.59 63160599.24 4610060452.34 
405.00 4734999229.24 63605127.69 4625566664.86 
406.00 4751196124.18 64051627.06 4641072019.27 
407.00 4767394696.47 64500100.74 4656576447.63 
408.00 4783594881.59 64950552.12 4672079882.43 
409.00 4799796615.46 65402984.57 4687582256.64 
410.00 4815999834.45 65857401.48 4703083503.66 
411.00 4832204475.38 66313806.21 4718583557.34 
412.00 4848410475.49 66772202.11 4734082351.98 
413.00 4864617772.47 67232592.56 4749579822.30 
414.00 4880826304.41 67694980.90 4765075903.47 
415.00 4897036009.85 68159370.48 4780570531.10 
416.00 4913246827.76 68625764.64 4796063641.21 
417.00 4929458697.52 69094166.70 4811555170.27 
418.00 4945671558.93 69564580.01 4827045055.16 
419.00 4961885352.21 70037007.88 4842533233.20 
420.00 4978100018.00 70511453.64 4858019642.12 
421.00 4994315497.33 70987920.59 4873504220.05 
422.00 5010531731.67 71466412.05 4888986905.57 
423.00 5026748662.87 71946931.30 4904467637.64 
424.00 5042966233.20 72429481.66 4919946355.66 
425.00 5059184385.32 72914066.41 4935422999.41 
426.00 5075403062.30 73400688.84 4950897509.09 
427.00 5091622207.59 73889352.22 4966369825.29 
428.00 5107841765.04 74380059.83 4981839889.01 
429.00 5124061678.90 74872814.94 4997307641.65 
430.00 5140281893.80 75367620.81 5012773025.00 
431.00 5156502354.76 75864480.70 5028235981.23 
432.00 5172723007.17 76363397.86 5043696452.92 
433.00 5188943796.82 76864375.54 5059154383.01 
434.00 5205164669.88 77367416.98 5074609714.86 
435.00 5221385572.87 77872525.41 5090062392.18 
436.00 5237606452.71 78379704.07 5105512359.08 
437.00 5253827256.68 78888956.18 5120959560.05 
438.00 5270047932.43 79400284.96 5136403939.92 
439.00 5286268427.98 79913693.62 5151845443.94 
440.00 5302488691.72 80429185.38 5167284017.70 
441.00 5318708672.38 80946763.43 5182719607.16 
442.00 5334928319.07 81466430.98 5198152158.67 
443.00 5351147581.25 81988191.22 5213581618.90 
444.00 5367366408.75 82512047.33 5229007934.94 
445.00 5383584751.73 83038002.50 5244431054.17 
446.00 5399802560.71 83566059.90 5259850924.39 
447.00 5416019786.56 84096222.71 5275267493.71 
448.00 5432236380.51 84628494.09 5290680710.62 
449.00 5448452294.11 85162877.20 5306090523.95 
450.00 5464667479.26 85699375.20 5321496882.86 
451.00 5480881888.22 86237991.24 5336899736.89 
452.00 5497095473.55 86778728.46 5352299035.89 
453.00 5513308188.18 87321590.00 5367694730.09 
454.00 5529519985.36 87866579.00 5383086770.02 
455.00 5545730818.66 88413698.58 5398475106.56 
456.00 5561940642.01 88962951.87 5413859690.95 
457.00 5578149409.64 89514341.99 5429240474.72 
458.00 5594357076.11 90067872.04 5444617409.76 
459.00 5610563596.32 90623545.15 5459990448.29 
460.00 5626768925.46 91181364.41 5475359542.85 
461.00 5642973019.08 91741332.91 5490724646.29 
462.00 5659175833.01 92303453.76 5506085711.80 
463.00 5675377323.42 92867730.03 5521442692.90 
464.00 5691577446.78 93434164.81 5536795543.40 
465.00 5707776159.87 94002761.18 5552144217.46 
466.00 5723973419.80 94573522.20 5567488669.52 
467.00 5740169183.96 95146450.95 5582828854.37 
468.00 5756363410.06 95721550.48 5598164727.08 
469.00 5772556056.12 96298823.85 5613496243.04 
470.00 5788747080.45 96878274.11 5628823357.96 
471.00 5804936441.66 97459904.31 5644146027.84 
472.00 5821124098.66 98043717.49 5659464208.98 
473.00 5837310010.67 98629716.67 5674777858.00 
474.00 5853494137.18 99217904.90 5690086931.81 
475.00 5869676437.99 99808285.20 5705391387.61 
476.00 5885856873.19 100400860.58 5720691182.90 
477.00 5902035403.15 100995634.06 5735986275.49 
478.00 5918211988.54 101592608.65 5751276623.46 
479.00 5934386590.29 102191787.36 5766562185.19 
480.00 5950559169.65 102793173.18 5781842919.36 
481.00 5966729688.12 103396769.11 5797118784.93 
482.00 5982898107.50 104002578.14 5812389741.13 
483.00 5999064389.86 104610603.25 5827655747.49 
484.00 6015228497.54 105220847.42 5842916763.82 
485.00 6031390393.18 105833313.62 5858172750.21 
486.00 6047550039.66 106448004.83 5873423667.02 
487.00 6063707400.16 107064924.01 5888669474.90 
488.00 6079862438.11 107684074.11 5903910134.77 
489.00 6096015117.23 108305458.09 5919145607.83 
490.00 6112165401.47 108929078.90 5934375855.53 
491.00 6128313255.08 109554939.49 5949600839.60 
492.00 6144458642.56 110183042.78 5964820522.07 
493.00 6160601528.68 110813391.72 5980034865.18 
494.00 6176741878.45 111445989.23 5995243831.49 
495.00 6192879657.16 112080838.24 6010447383.78 
496.00 6209014830.35 112717941.67 6025645485.12 
497.00 6225147363.80 113357302.43 6040838098.83 
498.00 6241277223.57 113998923.42 6056025188.49 
499.00 6257404375.96 114642807.56 6071206717.94 
500.00 6273528787.51 115288957.73 6086382651.27 
501.00 6289650425.02 115937376.85 6101552952.83 
502.00 6305769255.55 116588067.78 6116717587.22 
503.00 6321885246.38 117241033.42 6131876519.29 
504.00 6337998365.06 117896276.65 6147029714.14 
505.00 6354108579.36 118553800.35 6162177137.13 
506.00 6370215857.30 119213607.37 6177318753.84 
507.00 6386320167.15 119875700.58 6192454530.12 
508.00 6402421477.41 120540082.85 6207584432.06 
509.00 6418519756.82 121206757.03 6222708425.98 
510.00 6434614974.34 121875725.96 6237826478.44 
511.00 6450707099.19 122546992.50 6252938556.27 
512.00 6466796100.82 123220559.47 6268044626.49 
513.00 6482881948.88 123896429.73 6283144656.40 
514.00 6498964613.29 124574606.09 6298238613.50 
515.00 6515044064.17 125255091.39 6313326465.55 
516.00 6531120271.89 125937888.43 6328408180.54 
517.00 6547193207.02 126623000.05 6343483726.66 
518.00 6563262840.38 127310429.04 6358553072.38 
519.00 6579329143.00 128000178.22 6373616186.35 
520.00 6595392086.13 128692250.38 6388673037.47 
521.00 6611451641.24 129386648.32 6403723594.87 
522.00 6627507780.03 130083374.84 6418767827.89 
523.00 6643560474.42 130782432.72 6433805706.10 
524.00 6659609696.51 131483824.73 6448837199.30 
525.00 6675655418.67 132187553.67 6463862277.48 
526.00 6691697613.44 132893622.29 6478880910.89 
527.00 6707736253.59 133602033.37 6493893069.96 
528.00 6723771312.10 134312789.67 6508898725.36 
529.00 6739802762.17 135025893.95 6523897847.97 
530.00 6755830577.18 135741348.96 6538890408.88 
531.00 6771854730.75 136459157.45 6553876379.38 
532.00 6787875196.69 137179322.16 6568855730.99 
533.00 6803891949.01 137901845.83 6583828435.44 
534.00 6819904961.94 138626731.19 6598794464.66 
535.00 6835914209.89 139353980.98 6613753790.78 
536.00 6851919667.49 140083597.92 6628706386.16 
537.00 6867921309.57 140815584.73 6643652223.33 
538.00 6883919111.14 141549944.12 6658591275.06 
539.00 6899913047.43 142286678.81 6673523514.30 
540.00 6915903093.86 143025791.49 6688448914.20 
541.00 6931889226.03 143767284.87 6703367448.12 
542.00 6947871419.74 144511161.66 6718279089.62 
543.00 6963849651.01 145257424.53 6733183812.45 
544.00 6979823896.02 146006076.17 6748081590.55 
545.00 6995794131.15 146757119.28 6762972398.08 
546.00 7011760332.96 147510556.51 6777856209.37 
547.00 7027722478.23 148266390.56 6792732998.94 
548.00 7043680543.88 149024624.08 6807602741.53 
549.00 7059634507.06 149785259.75 6822465412.05 
550.00 7075584345.08 150548300.21 6837320985.59 
551.00 7091530035.44 151313748.13 6852169437.45 
552.00 7107471555.83 152081606.14 6867010743.11 
553.00 7123408884.09 152851876.91 6881844878.24 
554.00 7139341998.29 153624563.07 6896671818.67 
555.00 7155270876.64 154399667.25 6911491540.46 
556.00 7171195497.55 155177192.08 6926304019.80 
557.00 7187115839.59 155957140.20 6941109233.10 
558.00 7203031881.51 156739514.22 6955907156.94 
559.00 7218943602.26 157524316.77 6970697768.08 
